"Siteid","trophic_sta","trophic_asyn","foodweb_sta","rich_Phytoplankton","rich_Zooplankton","shan_Phytoplankton","shan_Zooplankton","simp_Phytoplankton","simp_Zooplankton","ens_simp_Phytoplankton","ens_simp_Zooplankton","ens_shan_Phytoplankton","ens_shan_Zooplankton","TP","Temp","sd_TP","sd_Temp","Popsta_Zooplankton","Comsta_Zooplankton","Popsasyn_Zooplankton","Popsta_Phytoplankton","Comsta_Phytoplankton","Popsasyn_Phytoplankton","microcystis_biomass","total_biomass","prop_biomass","program"
"30005",1.13810454309912,1.38886852926076,1.58067758291906,10.4,14.1333333333333,1.42070419039393,1.40575929024619,0.656760849436267,0.678919342040128,3.34584147896906,3.30238058023956,4.354289168575,4.19979234086873,0.0487333345,19.1383334333333,0.0585130853280253,2.00500993885503,0.878542369443323,1.27707007937958,1.45362377933892,0.563157962878889,0.955733219340938,1.69709616544386,4.44865847722837,86.0477252969319,0.0552355204883456,"Danish"
"31005",1.10232863425326,1.17977693717786,1.30050189988277,8.8125,13.75,1.44828828657532,0.93439226130337,0.650570982859642,0.419071756619118,3.5603422501719,2.09829365916893,4.62938986082692,2.84569602292455,0.1989375054375,19.3458332166667,0.085487990161923,1.6799775650412,0.707573253238459,1.11272491023906,1.57259323348683,0.41635820545298,1.04080526287732,2.49978323771707,0.66655757648,251.64137448272,0.0317119263842487,"Danish"
"45003",0.761233909294555,1.08539522722012,0.826239651946422,10.65,16.15,1.11414625289362,1.44262263586676,0.507346483393939,0.598151436220171,2.83207866017829,3.15497055055135,3.77794944938708,4.76326218143483,0.4458499993,19.4974159216708,0.25014380724167,1.83903572680507,0.440221762081705,0.552439521270572,1.25491188499681,0.472501928171311,0.811793927289472,1.71807537470016,6349.64745657565,7653.43100404145,0.603821020343404,"Danish"
"46007",1.73385486814031,1.41821578688171,2.4589803461583,13.4,16.9,1.25286549822748,1.98671219901289,0.528007000717678,0.815756360211307,2.99083599540577,5.73827232254984,4.18125558256642,7.40857242648645,0.09215000105,13.9111257179148,0.0460048937532452,0.743108348162978,1.07883324599342,1.99931167965704,1.85321659958302,0.666180282265894,1.64349598847346,2.46704388019921,134.816778862258,1905.75289761778,0.0962043253354511,"Danish"
"49001",1.62168023115445,1.28038291286753,2.07637165810522,13.4666666666667,18.3333333333333,1.73496285665181,1.90744521455954,0.708671093274753,0.775074369136768,4.43302879006061,4.97360248585839,6.2278750140032,6.96560571945811,0.458600000733333,19.7132962237963,0.264017801182961,2.22311100070403,0.714901470934831,1.27136567401337,1.77837887555454,0.535332712586886,1.84869796937594,3.45336260218899,1385.14761669305,4252.48451442326,0.312544049342746,"Danish"
"51004",1.87213248650687,1.31520562680367,2.46223918037579,14.3571428571429,19.1428571428571,1.28376433003724,2.1655937712551,0.523612301679706,0.829624718943053,2.96149301386952,6.35450550058102,4.22948930188315,8.86162351275975,0.0444999994142857,19.6975895837868,0.0159939891541022,1.53895141711265,1.10762147872557,2.01607698756588,1.82018589047729,0.965258835234642,1.80324369603827,1.86814523754132,4.66300330641711,732.264454246107,0.00896652849746267,"Danish"
"53017",1.0331885391318,1.01146903717607,1.04503821689699,16.4,14.8,1.43652654061512,1.20535397053632,0.625406920210306,0.608430916185252,3.07047790294868,2.64234117783314,4.5314421789291,3.41952436386427,1.707400014,20.1374998416667,0.384647626713074,1.55934671684439,1.85693802874137,2.48715378535039,1.33938437732151,0.732016142431496,0.964787355329871,1.31798644784689,5440.81346385065,17297.2370358818,0.218318638190767,"Danish"
"55002",1.55690129320824,1.09974947527098,1.71220138025448,13.7333333333333,18.0666666666667,1.57184617252296,2.07116922168312,0.668405531407255,0.824970954950706,3.86702177832502,6.39867016760358,5.42004774537955,8.25606548146393,0.2605333344,19.2643013069259,0.112140770389678,1.17349582731355,0.959704334354147,2.15341739699231,2.24383418924694,0.475970912100948,1.42918874162631,3.00268084727665,843.367505266597,1603.18579445898,0.404321208496781,"Danish"
"Abiskojaure",7.27189632452848,1.04404021656889,7.59215221352726,25.7777777777778,13.4444444444444,0.592508038308411,0.00969646359559069,0.181813097240069,0.0021779883009103,1.22295033977738,1.00218474060087,1.8132303719331,1.00976027383332,0.00343555555555556,7.73166666666667,0.00121667929082895,1.69488590627632,0.614979242240352,1.50027994150498,2.43956192088614,0.9174319132778,7.57127140166646,8.25267934556127,0,1.91212623774649,0,"Swedish"
"Älgsjön",2.94508357558218,1.28682065864123,3.78979438648414,51.75,14.3333333333333,0.824246306084487,0.166458245951702,0.243273194638063,0.0665157218559831,1.3255197497482,1.07440932654465,2.30730093070741,1.18717157785921,0.0222036363636364,15.6463636363636,0.00401067643353904,1.06226430540871,0.979381287207104,1.20555251090415,1.23093275994891,1.59405964876882,4.54526444879167,2.85137664221174,0.155324051689438,1.82192015981928,0.0846157126780821,"Swedish"
"Allgjuttern",9.93300953185763,1.07068448256948,10.6351191709747,38.8076923076923,14.4615384615385,0.597526820019081,0.0146345960390242,0.169421016520276,0.00325552365065185,1.20431001655573,1.00326817357937,1.82008465411426,1.01475964861595,0.00516615384615385,14.4392307692308,0.00113007283631836,1.382281948307,0.678719619902009,2.25355919588621,3.32030949129122,1.11133746555138,10.5335179345201,9.47823524449788,0.0606519056925768,2.53772543424438,0.0232348621597217,"Swedish"
"Brunnsjön",8.6570314155942,1.20899039802792,10.4662678568794,23.5454545454545,14.9545454545455,0.490679467195961,0.0301138316488552,0.15035408424465,0.0073583866828346,1.177228998044,1.00742621628092,1.63497740396046,1.03065452284601,0.0120395454545455,14.4813636363636,0.0023992369367755,0.828810366354466,0.786586535436394,1.98221169368674,2.52001732090039,1.42752979616709,10.1409079166346,7.10381523654555,0.000270754203664234,1.8766482833258,0.000152048250905795,"Swedish"
